"","SceneImage","Object","Basic","Superordinate","Supersuperordinate","a","A","b","B","c","C","d","D","e","E","f","F","g","G","h","H","i","I","j","J","k","K","l","L","m","M","n","N","o","O","p","P","q","Q","r","R","s","S","t","T","u","U","v","V","w","W","x","X"
"65","fruit_bowl.jpg","Blender","Kitchen","Private","Indoors","Exit Sign","basic.Inconsistent.No.150","Road Work Sign","super.Inconsistent.No.150","Blender","consistent.Consistent.No.150","Blender","consistent.Consistent.No.150","Drinking Fountain","basic.Inconsistent.Yes.50","Kayak","super.Inconsistent.Yes.50","Blender","consistent.Consistent.Yes.50","Blender","consistent.Consistent.Yes.50","Bathroom Sign","basic.Inconsistent.No.50","Fence","super.Inconsistent.No.50","Blender","consistent.Consistent.No.50","Blender","consistent.Consistent.No.50","Candle","basic.Inconsistent.Yes.100","Picnic Table","super.Inconsistent.Yes.100","Blender","consistent.Consistent.Yes.100","Blender","consistent.Consistent.Yes.100","Bathroom Sign","basic.Inconsistent.No.100","Sandbox","super.Inconsistent.No.100","Blender","consistent.Consistent.No.100","Blender","consistent.Consistent.No.100","Spoon","basic.Inconsistent.Yes.150","Windmill","super.Inconsistent.Yes.150","Blender","consistent.Consistent.Yes.150","Blender","consistent.Consistent.Yes.150"
"24","class11.jpg","Backpack","Classroom","Public","Indoors","Projector","basic.Inconsistent.No.150","Newspaper Box","super.Inconsistent.No.150","Backpack","consistent.Consistent.No.150","Backpack","consistent.Consistent.No.150","Spoon","basic.Inconsistent.Yes.50","Picnic Table","super.Inconsistent.Yes.50","Backpack","consistent.Consistent.Yes.50","Backpack","consistent.Consistent.Yes.50","Floor Lamp","basic.Inconsistent.No.50","Bus Stop Shelter","super.Inconsistent.No.50","Backpack","consistent.Consistent.No.50","Backpack","consistent.Consistent.No.50","Teddy Bear","basic.Inconsistent.Yes.100","Historic Plaque","super.Inconsistent.Yes.100","Backpack","consistent.Consistent.Yes.100","Backpack","consistent.Consistent.Yes.100","Teddy Bear","basic.Inconsistent.No.100","Wild Berries","super.Inconsistent.No.100","Backpack","consistent.Consistent.No.100","Backpack","consistent.Consistent.No.100","Napkin","basic.Inconsistent.Yes.150","Bird Bath","super.Inconsistent.Yes.150","Backpack","consistent.Consistent.Yes.150","Backpack","consistent.Consistent.Yes.150"
"13","bin.jpg","Rocking Chair","Living Room","Private","Indoors","Drinking Fountain","basic.Inconsistent.No.150","Kayak","super.Inconsistent.No.150","Rocking Chair","consistent.Consistent.No.150","Rocking Chair","consistent.Consistent.No.150","Plunger","basic.Inconsistent.Yes.50","Lily Pad","super.Inconsistent.Yes.50","Rocking Chair","consistent.Consistent.Yes.50","Rocking Chair","consistent.Consistent.Yes.50","Exit Sign","basic.Inconsistent.No.50","Road Work Sign","super.Inconsistent.No.50","Rocking Chair","consistent.Consistent.No.50","Rocking Chair","consistent.Consistent.No.50","Apron","basic.Inconsistent.Yes.100","Traffic Light","super.Inconsistent.Yes.100","Rocking Chair","consistent.Consistent.Yes.100","Rocking Chair","consistent.Consistent.Yes.100","Apron","basic.Inconsistent.No.100","Lifeguard Tower","super.Inconsistent.No.100","Rocking Chair","consistent.Consistent.No.100","Rocking Chair","consistent.Consistent.No.100","Bathroom Sign","basic.Inconsistent.Yes.150","Taxi","super.Inconsistent.Yes.150","Rocking Chair","consistent.Consistent.Yes.150","Rocking Chair","consistent.Consistent.Yes.150"
"61","forest14.jpg","Camping Tent","Forest","Natural","Outdoors","Sculpture","basic.Inconsistent.No.150","Toilet Paper","super.Inconsistent.No.150","Camping Tent","consistent.Consistent.No.150","Camping Tent","consistent.Consistent.No.150","Traffic Light","basic.Inconsistent.Yes.50","Tape Dispenser","super.Inconsistent.Yes.50","Camping Tent","consistent.Consistent.Yes.50","Camping Tent","consistent.Consistent.Yes.50","Sculpture","basic.Inconsistent.No.50","Briefcase","super.Inconsistent.No.50","Camping Tent","consistent.Consistent.No.50","Camping Tent","consistent.Consistent.No.50","Traffic Light","basic.Inconsistent.Yes.100","Baking Tray","super.Inconsistent.Yes.100","Camping Tent","consistent.Consistent.Yes.100","Camping Tent","consistent.Consistent.Yes.100","Radio Tower","basic.Inconsistent.No.100","Picture Frame","super.Inconsistent.No.100","Camping Tent","consistent.Consistent.No.100","Camping Tent","consistent.Consistent.No.100","Radio Tower","basic.Inconsistent.Yes.150","Vase","super.Inconsistent.Yes.150","Camping Tent","consistent.Consistent.Yes.150","Camping Tent","consistent.Consistent.Yes.150"
"70","highway8.jpg","Yield Sign","Highway","Human","Outdoors","Bicycle","basic.Inconsistent.No.150","Briefcase","super.Inconsistent.No.150","Yield Sign","consistent.Consistent.No.150","Yield Sign","consistent.Consistent.No.150","Flag Pole","basic.Inconsistent.Yes.50","Stand Mixer","super.Inconsistent.Yes.50","Yield Sign","consistent.Consistent.Yes.50","Yield Sign","consistent.Consistent.Yes.50","Tractor","basic.Inconsistent.No.50","Spoon","super.Inconsistent.No.50","Yield Sign","consistent.Consistent.No.50","Yield Sign","consistent.Consistent.No.50","Utility Pole","basic.Inconsistent.Yes.100","Shower Head","super.Inconsistent.Yes.100","Yield Sign","consistent.Consistent.Yes.100","Yield Sign","consistent.Consistent.Yes.100","Historic Plaque","basic.Inconsistent.No.100","Plunger","super.Inconsistent.No.100","Yield Sign","consistent.Consistent.No.100","Yield Sign","consistent.Consistent.No.100","Farmhouse","basic.Inconsistent.Yes.150","Shower Head","super.Inconsistent.Yes.150","Yield Sign","consistent.Consistent.Yes.150","Yield Sign","consistent.Consistent.Yes.150"
"3","bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","Radio Tower","super.Inconsistent.No.150","Toilet Paper","consistent.Consistent.No.150","Toilet Paper","consistent.Consistent.No.150","Bench","super.Inconsistent.Yes.50","Subway Station Sign","super.Inconsistent.Yes.50","Toilet Paper","consistent.Consistent.Yes.50","Toilet Paper","consistent.Consistent.Yes.50","Comforter Blanket","basic.Inconsistent.No.50","Fishing Boat","super.Inconsistent.No.50","Toilet Paper","consistent.Consistent.No.50","Toilet Paper","consistent.Consistent.No.50","Pencil Holder","basic.Inconsistent.Yes.100","Taxi","super.Inconsistent.Yes.100","Toilet Paper","consistent.Consistent.Yes.100","Toilet Paper","consistent.Consistent.Yes.100","Plate","basic.Inconsistent.No.100","Scarecrow","super.Inconsistent.No.100","Toilet Paper","consistent.Consistent.No.100","Toilet Paper","consistent.Consistent.No.100","Textbook","basic.Inconsistent.Yes.150","Subway Station Sign","super.Inconsistent.Yes.150","Toilet Paper","consistent.Consistent.Yes.150","Toilet Paper","consistent.Consistent.Yes.150","Comforter Blanket","basic.Inconsistent.No.150"
"38","conference8.jpg","Projector Screen","Conference Room","Public","Indoors","Fishing Rod","super.Inconsistent.No.150","Projector Screen","consistent.Consistent.No.150","Projector Screen","consistent.Consistent.No.150","Soap Bar","basic.Inconsistent.Yes.50","Log Cabin","super.Inconsistent.Yes.50","Projector Screen","consistent.Consistent.Yes.50","Projector Screen","consistent.Consistent.Yes.50","Coffee Maker","basic.Inconsistent.No.50","Swing Set","super.Inconsistent.No.50","Projector Screen","consistent.Consistent.No.50","Projector Screen","consistent.Consistent.No.50","Coffee Maker","basic.Inconsistent.Yes.100","Trash Bags","super.Inconsistent.Yes.100","Projector Screen","consistent.Consistent.Yes.100","Projector Screen","consistent.Consistent.Yes.100","Apron","basic.Inconsistent.No.100","Surfboard","super.Inconsistent.No.100","Projector Screen","consistent.Consistent.No.100","Projector Screen","consistent.Consistent.No.100","Bathroom Sign","basic.Inconsistent.Yes.150","Swing Set","super.Inconsistent.Yes.150","Projector Screen","consistent.Consistent.Yes.150","Projector Screen","consistent.Consistent.Yes.150","Rocking Chair","basic.Inconsistent.No.150"
"47","dining5.jpg","Bowl","Dining Room","Private","Indoors","Subway Station Sign","super.Inconsistent.No.150","Bowl","consistent.Consistent.No.150","Bowl","consistent.Consistent.No.150","Fire Alarm","basic.Inconsistent.Yes.50","Tractor","super.Inconsistent.Yes.50","Bowl","consistent.Consistent.Yes.50","Bowl","consistent.Consistent.Yes.50","Floor Lamp","basic.Inconsistent.No.50","Historic Plaque","super.Inconsistent.No.50","Bowl","consistent.Consistent.No.50","Bowl","consistent.Consistent.No.50","Rocking Chair","basic.Inconsistent.Yes.100","Rock","super.Inconsistent.Yes.100","Bowl","consistent.Consistent.Yes.100","Bowl","consistent.Consistent.Yes.100","Fire Extinguisher","basic.Inconsistent.No.100","Buoy","super.Inconsistent.No.100","Bowl","consistent.Consistent.No.100","Bowl","consistent.Consistent.No.100","Backpack","basic.Inconsistent.Yes.150","Surfboard","super.Inconsistent.Yes.150","Bowl","consistent.Consistent.Yes.150","Bowl","consistent.Consistent.Yes.150","Pencil Case","basic.Inconsistent.No.150"
"56","farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","TV Remote","super.Inconsistent.No.150","Feeding Trough","consistent.Consistent.No.150","Feeding Trough","consistent.Consistent.No.150","Fishing Rod","basic.Inconsistent.Yes.50","Rolling Pin","super.Inconsistent.Yes.50","Feeding Trough","consistent.Consistent.Yes.50","Feeding Trough","consistent.Consistent.Yes.50","Wildflower","basic.Inconsistent.No.50","Broom","super.Inconsistent.No.50","Feeding Trough","consistent.Consistent.No.50","Feeding Trough","consistent.Consistent.No.50","Birdhouse","basic.Inconsistent.Yes.100","Dresser","super.Inconsistent.Yes.100","Feeding Trough","consistent.Consistent.Yes.100","Feeding Trough","consistent.Consistent.Yes.100","Motorcycle","basic.Inconsistent.No.100","Bus Stop Shelter","basic.Inconsistent.No.100","Feeding Trough","consistent.Consistent.No.100","Feeding Trough","consistent.Consistent.No.100","Yield Sign","basic.Inconsistent.Yes.150","Projector","super.Inconsistent.Yes.150","Feeding Trough","consistent.Consistent.Yes.150","Feeding Trough","consistent.Consistent.Yes.150","Toadstool Mushroom","basic.Inconsistent.No.150"
"36","conference1.jpg","Briefcase","Conference Room","Public","Indoors","Crosswalk Signal","super.Inconsistent.No.150","Briefcase","consistent.Consistent.No.150","Briefcase","consistent.Consistent.No.150","Drinking Fountain","basic.Inconsistent.Yes.50","Historic Plaque","super.Inconsistent.Yes.50","Briefcase","consistent.Consistent.Yes.50","Briefcase","consistent.Consistent.Yes.50","Fishing Rod","super.Inconsistent.No.50","Speed Limit Sign","super.Inconsistent.No.50","Briefcase","consistent.Consistent.No.50","Briefcase","consistent.Consistent.No.50","Blender","basic.Inconsistent.Yes.100","Sculpture","super.Inconsistent.Yes.100","Briefcase","consistent.Consistent.Yes.100","Briefcase","consistent.Consistent.Yes.100","Comforter Blanket","basic.Inconsistent.No.100","Newspaper Box","super.Inconsistent.No.100","Briefcase","consistent.Consistent.No.100","Briefcase","consistent.Consistent.No.100","Apron","basic.Inconsistent.Yes.150","Buoy","super.Inconsistent.Yes.150","Briefcase","consistent.Consistent.Yes.150","Briefcase","consistent.Consistent.Yes.150","Broom","basic.Inconsistent.No.150"
"113","Urban_Image_08.jpg","Traffic Light","Suburban","Human","Outdoors","Traffic Light","consistent.Consistent.No.150","Traffic Light","consistent.Consistent.No.150","Kayak","basic.Inconsistent.Yes.50","Rocking Chair","super.Inconsistent.Yes.50","Traffic Light","consistent.Consistent.Yes.50","Traffic Light","consistent.Consistent.Yes.50","Beach Towel","basic.Inconsistent.No.50","Soap Bar","super.Inconsistent.No.50","Traffic Light","consistent.Consistent.No.50","Traffic Light","consistent.Consistent.No.50","Wildflower","basic.Inconsistent.Yes.100","Drinking Fountain","super.Inconsistent.Yes.100","Traffic Light","consistent.Consistent.Yes.100","Traffic Light","consistent.Consistent.Yes.100","Feeding Trough","basic.Inconsistent.No.100","Crayons","super.Inconsistent.No.100","Traffic Light","consistent.Consistent.No.100","Traffic Light","consistent.Consistent.No.100","Pitchfork","basic.Inconsistent.Yes.150","Phone Set","super.Inconsistent.Yes.150","Traffic Light","consistent.Consistent.Yes.150","Traffic Light","consistent.Consistent.Yes.150","Tape Dispenser","super.Inconsistent.No.150","Axe","basic.Inconsistent.No.150"
"110","suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","Crosswalk","consistent.Consistent.No.150","Crosswalk","consistent.Consistent.No.150","Pitchfork","basic.Inconsistent.Yes.50","Textbook","super.Inconsistent.Yes.50","Crosswalk","consistent.Consistent.Yes.50","Crosswalk","consistent.Consistent.Yes.50","Wild Berries","basic.Inconsistent.No.50","Armchair Recliner","super.Inconsistent.No.50","Crosswalk","consistent.Consistent.No.50","Crosswalk","consistent.Consistent.No.50","Wild Berries","basic.Inconsistent.Yes.100","Armchair Recliner","super.Inconsistent.Yes.100","Crosswalk","consistent.Consistent.Yes.100","Crosswalk","consistent.Consistent.Yes.100","Axe","basic.Inconsistent.No.100","Fire Alarm","super.Inconsistent.No.100","Crosswalk","consistent.Consistent.No.100","Crosswalk","consistent.Consistent.No.100","Plate","super.Inconsistent.Yes.150","Blender","super.Inconsistent.Yes.150","Crosswalk","consistent.Consistent.Yes.150","Crosswalk","consistent.Consistent.Yes.150","Kayak","basic.Inconsistent.No.150","Exit Sign","super.Inconsistent.No.150"
"8","bedroom12.jpg","Dresser","Bedroom","Private","Indoors","Dresser","consistent.Consistent.No.150","Dresser","consistent.Consistent.No.150","Toilet Paper","basic.Inconsistent.Yes.50","Birdhouse","super.Inconsistent.Yes.50","Dresser","consistent.Consistent.Yes.50","Dresser","consistent.Consistent.Yes.50","Fire Alarm","basic.Inconsistent.No.50","Stop Sign","super.Inconsistent.No.50","Dresser","consistent.Consistent.No.50","Dresser","consistent.Consistent.No.50","Briefcase","basic.Inconsistent.Yes.100","Rock","super.Inconsistent.Yes.100","Dresser","consistent.Consistent.Yes.100","Dresser","consistent.Consistent.Yes.100","Fire Extinguisher","basic.Inconsistent.No.100","Birdhouse","super.Inconsistent.No.100","Dresser","consistent.Consistent.No.100","Dresser","consistent.Consistent.No.100","Armchair Recliner","basic.Inconsistent.Yes.150","Soccer Ball","super.Inconsistent.Yes.150","Dresser","consistent.Consistent.Yes.150","Dresser","consistent.Consistent.Yes.150","Baking Tray","basic.Inconsistent.No.150","Sculpture","super.Inconsistent.No.150"
"53","farm1.jpg","Hay Bale","Farm","Natural","Outdoors","Hay Bale","consistent.Consistent.No.150","Hay Bale","consistent.Consistent.No.150","Souvenir Stand","basic.Inconsistent.Yes.50","Razor","super.Inconsistent.Yes.50","Hay Bale","consistent.Consistent.Yes.50","Hay Bale","consistent.Consistent.Yes.50","Nightstand","super.Inconsistent.No.50","Bathroom Sign","super.Inconsistent.No.50","Hay Bale","consistent.Consistent.No.50","Hay Bale","consistent.Consistent.No.50","Stapler","super.Inconsistent.Yes.100","Bird Nest","basic.Inconsistent.Yes.100","Hay Bale","consistent.Consistent.Yes.100","Hay Bale","consistent.Consistent.Yes.100","Seesaw","basic.Inconsistent.No.100","Soap Bar","super.Inconsistent.No.100","Hay Bale","consistent.Consistent.No.100","Hay Bale","consistent.Consistent.No.100","Comforter Blanket","super.Inconsistent.Yes.150","Motorcycle","basic.Inconsistent.Yes.150","Hay Bale","consistent.Consistent.Yes.150","Hay Bale","consistent.Consistent.Yes.150","Wild Berries","basic.Inconsistent.No.150","Knife","super.Inconsistent.No.150"
"71","highway9.jpg","Road Work Sign","Highway","Human","Outdoors","Road Work Sign","consistent.Consistent.No.150","Road Work Sign","consistent.Consistent.No.150","Camping Tent","basic.Inconsistent.Yes.50","Comforter Blanket","super.Inconsistent.Yes.50","Road Work Sign","consistent.Consistent.Yes.50","Road Work Sign","consistent.Consistent.Yes.50","Souvenir Stand","basic.Inconsistent.No.50","Razor","super.Inconsistent.No.50","Road Work Sign","consistent.Consistent.No.50","Road Work Sign","consistent.Consistent.No.50","Sticky Notes","super.Inconsistent.Yes.100","Exit Sign","super.Inconsistent.Yes.100","Road Work Sign","consistent.Consistent.Yes.100","Road Work Sign","consistent.Consistent.Yes.100","Bird Nest","basic.Inconsistent.No.100","Drinking Fountain","super.Inconsistent.No.100","Road Work Sign","consistent.Consistent.No.100","Road Work Sign","consistent.Consistent.No.100","Birdhouse","basic.Inconsistent.Yes.150","Fire Extinguisher","super.Inconsistent.Yes.150","Road Work Sign","consistent.Consistent.Yes.150","Road Work Sign","consistent.Consistent.Yes.150","Briefcase","super.Inconsistent.No.150","Soap Bar","super.Inconsistent.No.150"
"96","opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","Farmhouse","consistent.Consistent.No.150","Horse Carriage","basic.Inconsistent.Yes.50","Knife","super.Inconsistent.Yes.50","Farmhouse","consistent.Consistent.Yes.50","Farmhouse","consistent.Consistent.Yes.50","Horse Carriage","basic.Inconsistent.No.50","Picture Frame","super.Inconsistent.No.50","Farmhouse","consistent.Consistent.No.50","Farmhouse","consistent.Consistent.No.50","Flag Pole","basic.Inconsistent.Yes.100","Fire Alarm","super.Inconsistent.Yes.100","Farmhouse","consistent.Consistent.Yes.100","Farmhouse","consistent.Consistent.Yes.100","Wild Berries","basic.Inconsistent.No.100","Projector Screen","super.Inconsistent.No.100","Farmhouse","consistent.Consistent.No.100","Farmhouse","consistent.Consistent.No.100","Telephone Booth","basic.Inconsistent.Yes.150","Rocking Chair","super.Inconsistent.Yes.150","Farmhouse","consistent.Consistent.Yes.150","Farmhouse","consistent.Consistent.Yes.150","Traffic Light","basic.Inconsistent.No.150","Armchair Recliner","super.Inconsistent.No.150","Farmhouse","consistent.Consistent.No.150"
"29","clock.jpg","Stop Sign","Urban Street","Human","Outdoors","Stop Sign","consistent.Consistent.No.150","Pitchfork","basic.Inconsistent.Yes.50","Backpack","super.Inconsistent.Yes.50","Stop Sign","consistent.Consistent.Yes.50","Stop Sign","consistent.Consistent.Yes.50","Speed Limit Sign","basic.Inconsistent.No.50","Backpack","super.Inconsistent.No.50","Stop Sign","consistent.Consistent.No.50","Stop Sign","consistent.Consistent.No.50","Tractor","basic.Inconsistent.Yes.100","Rocking Chair","super.Inconsistent.Yes.100","Stop Sign","consistent.Consistent.Yes.100","Stop Sign","consistent.Consistent.Yes.100","Taxi","basic.Inconsistent.No.100","Plate","super.Inconsistent.No.100","Stop Sign","consistent.Consistent.No.100","Stop Sign","consistent.Consistent.No.100","Taxi","basic.Inconsistent.Yes.150","Pencil Holder","super.Inconsistent.Yes.150","Stop Sign","consistent.Consistent.Yes.150","Stop Sign","consistent.Consistent.Yes.150","Picnic Table","basic.Inconsistent.No.150","Alarm Clock","super.Inconsistent.No.150","Stop Sign","consistent.Consistent.No.150"
"111","suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","Utility Pole","consistent.Consistent.No.150","Beach Towel","basic.Inconsistent.Yes.50","Coffee Maker","super.Inconsistent.Yes.50","Utility Pole","consistent.Consistent.Yes.50","Utility Pole","consistent.Consistent.Yes.50","Flag Pole","basic.Inconsistent.No.50","Plate","super.Inconsistent.No.50","Utility Pole","consistent.Consistent.No.50","Utility Pole","consistent.Consistent.No.50","Lifeguard Tower","basic.Inconsistent.Yes.100","Ottoman","super.Inconsistent.Yes.100","Utility Pole","consistent.Consistent.Yes.100","Utility Pole","consistent.Consistent.Yes.100","Sandbox","basic.Inconsistent.No.100","Vase","super.Inconsistent.No.100","Utility Pole","consistent.Consistent.No.100","Utility Pole","consistent.Consistent.No.100","Lily Pad","basic.Inconsistent.Yes.150","Bowl","super.Inconsistent.Yes.150","Utility Pole","consistent.Consistent.Yes.150","Utility Pole","consistent.Consistent.Yes.150","Lily Pad","basic.Inconsistent.No.150","Pan","super.Inconsistent.No.150","Utility Pole","consistent.Consistent.No.150"
"99","opencountry8.jpg","Radio Tower","Open Country","Natural","Outdoors","Radio Tower","consistent.Consistent.No.150","Log Cabin","basic.Inconsistent.Yes.50","Toothpaste","super.Inconsistent.Yes.50","Radio Tower","consistent.Consistent.Yes.50","Radio Tower","consistent.Consistent.Yes.50","Bird Bath","basic.Inconsistent.No.50","Shower Head","super.Inconsistent.No.50","Radio Tower","consistent.Consistent.No.50","Radio Tower","consistent.Consistent.No.50","Souvenir Stand","basic.Inconsistent.Yes.100","Shower Head","super.Inconsistent.Yes.100","Radio Tower","consistent.Consistent.Yes.100","Radio Tower","consistent.Consistent.Yes.100","Tractor","basic.Inconsistent.No.100","Briefcase","super.Inconsistent.No.100","Radio Tower","consistent.Consistent.No.100","Radio Tower","consistent.Consistent.No.100","Scarecrow","basic.Inconsistent.Yes.150","Laundry Hamper","super.Inconsistent.Yes.150","Radio Tower","consistent.Consistent.Yes.150","Radio Tower","consistent.Consistent.Yes.150","Bus Stop Shelter","basic.Inconsistent.No.150","Nightstand","super.Inconsistent.No.150","Radio Tower","consistent.Consistent.No.150"
"42","corridor2.jpg","Bathroom Sign","Corridor","Public","Indoors","Bathroom Sign","consistent.Consistent.No.150","Tape Dispenser","basic.Inconsistent.Yes.50","Comforter Blanket","basic.Inconsistent.Yes.50","Bathroom Sign","consistent.Consistent.Yes.50","Bathroom Sign","consistent.Consistent.Yes.50","Dresser","basic.Inconsistent.No.50","Phone Set","basic.Inconsistent.No.50","Bathroom Sign","consistent.Consistent.No.50","Bathroom Sign","consistent.Consistent.No.50","Stand Mixer","basic.Inconsistent.Yes.100","Soccer Ball","super.Inconsistent.Yes.100","Bathroom Sign","consistent.Consistent.Yes.100","Bathroom Sign","consistent.Consistent.Yes.100","Stand Mixer","basic.Inconsistent.No.100","Kayak","super.Inconsistent.No.100","Bathroom Sign","consistent.Consistent.No.100","Bathroom Sign","consistent.Consistent.No.100","Candle","basic.Inconsistent.Yes.150","Beach Towel","super.Inconsistent.Yes.150","Bathroom Sign","consistent.Consistent.Yes.150","Bathroom Sign","consistent.Consistent.Yes.150","Toothpaste","basic.Inconsistent.No.150","Souvenir Stand","super.Inconsistent.No.150","Bathroom Sign","consistent.Consistent.No.150"
"45","corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","Crayons","basic.Inconsistent.Yes.50","Wild Berries","super.Inconsistent.Yes.50","Fire Alarm","consistent.Consistent.Yes.50","Fire Alarm","consistent.Consistent.Yes.50","Broom","basic.Inconsistent.No.50","Fence","super.Inconsistent.No.50","Fire Alarm","consistent.Consistent.No.50","Fire Alarm","consistent.Consistent.No.50","Teddy Bear","basic.Inconsistent.Yes.100","Sandbox","super.Inconsistent.Yes.100","Fire Alarm","consistent.Consistent.Yes.100","Fire Alarm","consistent.Consistent.Yes.100","Toaster","basic.Inconsistent.No.100","Scarecrow","super.Inconsistent.No.100","Fire Alarm","consistent.Consistent.No.100","Fire Alarm","consistent.Consistent.No.100","Calculator","basic.Inconsistent.Yes.150","Subway Station Sign","super.Inconsistent.Yes.150","Fire Alarm","consistent.Consistent.Yes.150","Fire Alarm","consistent.Consistent.Yes.150","Stand Mixer","basic.Inconsistent.No.150","Tractor","super.Inconsistent.No.150","Fire Alarm","consistent.Consistent.No.150","Fire Alarm","consistent.Consistent.No.150"
"10","bedroom5.jpg","Alarm Clock","Bedroom","Private","Indoors","Textbook","basic.Inconsistent.Yes.50","Windmill","super.Inconsistent.Yes.50","Alarm Clock","consistent.Consistent.Yes.50","Alarm Clock","consistent.Consistent.Yes.50","Exit Sign","basic.Inconsistent.No.50","Bus Stop Shelter","super.Inconsistent.No.50","Alarm Clock","consistent.Consistent.No.50","Alarm Clock","consistent.Consistent.No.50","Crayons","basic.Inconsistent.Yes.100","Windmill","super.Inconsistent.Yes.100","Alarm Clock","consistent.Consistent.Yes.100","Alarm Clock","consistent.Consistent.Yes.100","Spoon","basic.Inconsistent.No.100","Bus Stop Shelter","super.Inconsistent.No.100","Alarm Clock","consistent.Consistent.No.100","Alarm Clock","consistent.Consistent.No.100","Printer","basic.Inconsistent.Yes.150","Fence","super.Inconsistent.Yes.150","Alarm Clock","consistent.Consistent.Yes.150","Alarm Clock","consistent.Consistent.Yes.150","TV Remote","basic.Inconsistent.No.150","Lighthouse","super.Inconsistent.No.150","Alarm Clock","consistent.Consistent.No.150","Alarm Clock","consistent.Consistent.No.150"
"107","suburb1.jpg","Lawn Mower","Suburban","Human","Outdoors","Log Cabin","basic.Inconsistent.Yes.50","Notebook","super.Inconsistent.Yes.50","Lawn Mower","consistent.Consistent.Yes.50","Lawn Mower","consistent.Consistent.Yes.50","Taxi","basic.Inconsistent.No.50","Fork","super.Inconsistent.No.50","Lawn Mower","consistent.Consistent.No.50","Lawn Mower","consistent.Consistent.No.50","Radio Tower","basic.Inconsistent.Yes.100","Rolling Pin","super.Inconsistent.Yes.100","Lawn Mower","consistent.Consistent.Yes.100","Lawn Mower","consistent.Consistent.Yes.100","Fishing Rod","basic.Inconsistent.No.100","Oven Mitts","super.Inconsistent.No.100","Lawn Mower","consistent.Consistent.No.100","Lawn Mower","consistent.Consistent.No.100","Subway Station Sign","basic.Inconsistent.Yes.150","Shower Head","super.Inconsistent.Yes.150","Lawn Mower","consistent.Consistent.Yes.150","Lawn Mower","consistent.Consistent.Yes.150","Crosswalk Signal","basic.Inconsistent.No.150","Baking Tray","super.Inconsistent.No.150","Lawn Mower","consistent.Consistent.No.150","Lawn Mower","consistent.Consistent.No.150"
"67","highway10.jpg","Billboard","Highway","Human","Outdoors","Scarecrow","basic.Inconsistent.Yes.50","Laundry Hamper","super.Inconsistent.Yes.50","Billboard","consistent.Consistent.Yes.50","Billboard","consistent.Consistent.Yes.50","Trash Bags","basic.Inconsistent.No.50","Vase","super.Inconsistent.No.50","Billboard","consistent.Consistent.No.50","Billboard","consistent.Consistent.No.50","Crosswalk Signal","basic.Inconsistent.Yes.100","Toilet Paper","super.Inconsistent.Yes.100","Billboard","consistent.Consistent.Yes.100","Billboard","consistent.Consistent.Yes.100","Fishing Boat","basic.Inconsistent.No.100","Bowl","super.Inconsistent.No.100","Billboard","consistent.Consistent.No.100","Billboard","consistent.Consistent.No.100","Log Cabin","basic.Inconsistent.Yes.150","Toilet Paper","super.Inconsistent.Yes.150","Billboard","consistent.Consistent.Yes.150","Billboard","consistent.Consistent.Yes.150","Fishing Rod","basic.Inconsistent.No.150","Napkin","super.Inconsistent.No.150","Billboard","consistent.Consistent.No.150","Billboard","consistent.Consistent.No.150"
"63","forest2.jpg","Bird Nest","Forest","Natural","Outdoors","Farmhouse","basic.Inconsistent.Yes.50","Stapler","super.Inconsistent.Yes.50","Bird Nest","consistent.Consistent.Yes.50","Bird Nest","consistent.Consistent.Yes.50","Bird Bath","basic.Inconsistent.No.50","Teddy Bear","super.Inconsistent.No.50","Bird Nest","consistent.Consistent.No.50","Bird Nest","consistent.Consistent.No.50","Sandbox","basic.Inconsistent.Yes.100","Ottoman","super.Inconsistent.Yes.100","Bird Nest","consistent.Consistent.Yes.100","Bird Nest","consistent.Consistent.Yes.100","Tractor","basic.Inconsistent.No.100","Television","super.Inconsistent.No.100","Bird Nest","consistent.Consistent.No.100","Bird Nest","consistent.Consistent.No.100","Speed Limit Sign","basic.Inconsistent.Yes.150","Stapler","super.Inconsistent.Yes.150","Bird Nest","consistent.Consistent.Yes.150","Bird Nest","consistent.Consistent.Yes.150","Scarecrow","basic.Inconsistent.No.150","Candle","super.Inconsistent.No.150","Bird Nest","consistent.Consistent.No.150","Bird Nest","consistent.Consistent.No.150"
